game_name,month,total_ticket_sales,total_ticket_sales_count,year,zip_code
Powerball,January,34904.0,"8,442",2017,60053
EZ Match,January,3010.0,"3,010",2017,60056
Instant Rollup,January,746400.0,Not Tracked,2017,60056
Lotto,January,36846.0,"11,569",2017,60056
Lucky Day Lotto,January,46493.0,"19,256",2017,60056
Mega Millions ,January,37336.0,"12,742",2017,60056
Pick 3,January,24614.0,"24,150",2017,60056
Pick3 Fireball,January,4708.5,"5,077",2017,60056
Pick 4,January,18226.0,"21,515",2017,60056
Pick4 Fireball,January,4126.5,"5,010",2017,60056
Powerball,January,33438.0,"8,066",2017,60056
EZ Match,January,3488.0,"3,488",2017,60060
Instant Rollup,January,524700.0,Not Tracked,2017,60060
Lotto,January,26791.0,"8,879",2017,60060
Lucky Day Lotto,January,31054.0,"13,752",2017,60060
Mega Millions ,January,31822.0,"11,474",2017,60060
Pick 3,January,12341.0,"12,595",2017,60060
Pick3 Fireball,January,3791.5,"4,064",2017,60060
Pick 4,January,11234.5,"10,609",2017,60060
Pick4 Fireball,January,4384.5,"4,239",2017,60060
Powerball,January,31706.0,"7,820",2017,60060
EZ Match,January,1610.0,"1,610",2017,60061
Instant Rollup,January,192150.0,Not Tracked,2017,60061
Lotto,January,14652.0,"4,949",2017,60061
Lucky Day Lotto,January,14563.0,"6,843",2017,60061
Mega Millions ,January,18963.0,"6,471",2017,60061
Pick 3,January,36091.0,"23,232",2017,60061
Pick3 Fireball,January,3343.5,"3,510",2017,60061
Pick 4,January,12221.5,"16,619",2017,60061
Pick4 Fireball,January,3954.5,"4,768",2017,60061
Powerball,January,19199.0,"4,721",2017,60061
EZ Match,January,2083.0,"2,083",2017,60062
Instant Rollup,January,415650.0,Not Tracked,2017,60062
Lotto,January,30659.0,"8,778",2017,60062
Lucky Day Lotto,January,30070.0,"12,958",2017,60062
Mega Millions ,January,35045.0,"11,116",2017,60062
Pick 3,January,13297.0,"12,623",2017,60062
Pick3 Fireball,January,3435.0,"3,071",2017,60062
Pick 4,January,13677.0,"16,207",2017,60062
Pick4 Fireball,January,3609.0,"3,789",2017,60062
Powerball,January,34949.0,"7,821",2017,60062
EZ Match,January,1818.0,"1,818",2017,60064
Instant Rollup,January,346350.0,Not Tracked,2017,60064
Lotto,January,5845.0,"2,563",2017,60064
Lucky Day Lotto,January,11894.0,"6,953",2017,60064
Mega Millions ,January,10349.0,"4,420",2017,60064
Pick 3,January,51710.5,"50,902",2017,60064
Pick3 Fireball,January,10395.5,"12,072",2017,60064
Pick 4,January,46771.0,"66,909",2017,60064
Pick4 Fireball,January,13193.5,"18,256",2017,60064
Powerball,January,11471.0,"3,271",2017,60064
EZ Match,January,2539.0,"2,539",2017,60067
Instant Rollup,January,312150.0,Not Tracked,2017,60067
Lotto,January,25831.0,"7,222",2017,60067
Lucky Day Lotto,January,28089.0,"11,739",2017,60067
Mega Millions ,January,23686.0,"8,064",2017,60067
Pick 3,January,9473.5,"9,009",2017,60067
Pick3 Fireball,January,2793.5,"2,906",2017,60067
Pick 4,January,6759.0,"9,562",2017,60067
